#name, A, B, C, D, E, F
NODE_0000054, 8.917965140370991e-11, 2.0684926289870636e-05, 1.3524067495049687e-09, 0.9999792891804061, 6.957401751040838e-10, 2.375597731248606e-08
NODE_0000094, 8.917582491381357e-11, 2.0658405906083635e-05, 1.352390253096729e-09, 0.9999793157011835, 6.957301121331817e-10, 2.3755614177741914e-08
NODE_0000056, 8.889577077371878e-11, 1.927536394795901e-05, 1.3484094336887963e-09, 0.9999806989132161, 6.939226329560504e-10, 2.3591608098831756e-08
AF404753/2000/USA/MD/Baltimore/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KJ501480/2001/USA/MD/Anne_Arundel/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000096, 8.916888186852121e-11, 2.0610407912598973e-05, 1.3523599959327183e-09, 0.9999793636999361, 6.957117517282686e-10, 2.375491070908324e-08
NODE_0000060, 8.889552765887436e-11, 1.9273781518233893e-05, 1.348408499567005e-09, 0.9999807004956552, 6.939220291793817e-10, 2.359160044227639e-08
DQ164187/2002/USA/NY/Broome/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
DQ164192/2003/USA/NY/Rockland/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000098, 8.889552765887436e-11, 1.9273781518233893e-05, 1.348408499567005e-09, 0.9999807004956552, 6.939220291793817e-10, 2.359160044227639e-08
KJ501293/2003/USA/MD/Prince_George_s/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KJ501313/2003/USA/DC/District_Of_Columbia/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000065, 8.903952535404552e-11, 1.99806228917069e-05, 1.3504149224631632e-09, 0.9999799935689865, 6.948358812362454e-10, 2.367383158868594e-08
AF196835/1999/USA/NY/Bronx/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000066, 8.917593354575184e-11, 2.0659179135054114e-05, 1.352390679783995e-09, 0.9999793149279501, 6.957303857997203e-10, 2.3755617921290047e-08
NODE_0000068, 8.903563631705669e-11, 1.9954558863296795e-05, 1.3503982305397279e-09, 0.9999800196334047, 6.948256757621481e-10, 2.3673472554656594e-08
MH166903/2000/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000069, 8.903130258632388e-11, 1.992042026099453e-05, 1.3504065673323397e-09, 0.9999800537711093, 6.948247422657198e-10, 2.36743671894762e-08
HM488131/2000/USA/CT/New_Haven/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000073, 9.067345836757912e-11, 1.962252713045001e-05, 1.3750342964535492e-09, 0.9999803512442427, 7.076433823187196e-10, 2.4055275809494106e-08
KX547266/2002/USA/NY/Nassau/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
HQ671713/2001/USA/CT/Fairfield/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000067, 8.917558244688932e-11, 2.0656735478272367e-05, 1.352389329870991e-09, 0.9999793173716206, 6.957295138827717e-10, 2.3755606687053108e-08
NODE_0000083, 8.90322159972629e-11, 1.9931667156903645e-05, 1.350383260011003e-09, 0.9999800425254922, 6.948166079020932e-10, 2.3673118693104334e-08
KX547584/2002/USA/NY/Chemung/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000084, 8.889206958345199e-11, 1.925140433506687e-05, 1.3483934284707973e-09, 0.9999807228732153, 6.939128805092984e-10, 2.35912512690667e-08
KX547228/2002/USA/NY/Richmond/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
KX547492/2002/USA/NY/Westchester/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000070, 8.90322159972629e-11, 1.9931667156903645e-05, 1.350383260011003e-09, 0.9999800425254922, 6.948166079020932e-10, 2.3673118693104334e-08
KX547478/2001/USA/NY/Rockland/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000071, 8.889206958345199e-11, 1.925140433506687e-05, 1.3483934284707973e-09, 0.9999807228732153, 6.939128805092984e-10, 2.35912512690667e-08
KX547602/2000/USA/NY/Westchester/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
KX547316/2001/USA/NY/Westchester/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000088, 8.903939638886156e-11, 1.9979754101187425e-05, 1.3504144271596028e-09, 0.999979994437782, 6.948355610924103e-10, 2.3673827567622674e-08
AF260967/1999/USA/NY/New_York/NY99/unknown/Horse, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000091, 8.917224050102318e-11, 2.0633634772377386e-05, 1.3523747040575618e-09, 0.9999793404727009, 6.957206575352879e-10, 2.3755259107522038e-08
NODE_0000063, 8.903209894173056e-11, 1.993088047716588e-05, 1.3503828102172943e-09, 0.9999800433121765, 6.948163172543344e-10, 2.367311496857188e-08
MH166882/2000/USA/VA/Norfolk/NY99/unknown/Bird-unknown, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000064, 8.889206559774768e-11, 1.925137839928755e-05, 1.3483934132174365e-09, 0.9999807228991514, 6.939128706243917e-10, 2.3591251169747778e-08
HM488129/2000/USA/CT/New_Haven/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
AF404754/2000/USA/NJ/Bergen/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000095, 8.903569229346219e-11, 1.9954980129187696e-05, 1.3503983996108222e-09, 0.9999800192121416, 6.948257989381455e-10, 2.367346930272513e-08
NODE_0000097, 8.90322178478762e-11, 1.9931697216533706e-05, 1.3503832764455457e-09, 0.9999800424954323, 6.948166165626922e-10, 2.3673118947511183e-08
