"","intro_node_num","fst_sample_date","last_sample_date","intro_label","inferred_trap","intro_inferred_date","inferred_zone","intro_trap_1","intro_trap_2","intro_zone_1","intro_zone_2","zone_match","n","foco_n","inferred_duration","sample_duration","intro","intro_year","intro_month","intro_month0","inferred_persistence","persistence"
"60",5844,2021-07-28,2021-08-08,"NODE_0000585","FC-088GR",2020-08-07,"CO/FC/SE","FC-093",NA,"CO/FC/SW",NA,FALSE,3,3,1,0.03,60,2021,"7",0,"short","short"
"61",5865,2013-07-16,2015-07-14,"NODE_0000565","FC-040",2012-07-15,"CO/FC/NE","FC-039","FC-047","CO/FC/SE","CO/FC/SE",FALSE,4,4,3,1.99,61,2013,"7",0,"long","long"
"62",5870,2016-07-11,2016-08-15,"NODE_0000581","FC-068",2016-05-15,"CO/FC/SW","FC-092GR",NA,"CO/FC/NE",NA,FALSE,2,2,0.25,0.1,62,2016,"7",0,"short","short"
"63",5891,2015-07-08,2016-08-15,"NODE_0000634","TX/Montogmery",2014-05-23,"TX/Montogmery","FC-040GR",NA,"CO/FC/NE",NA,FALSE,3,2,2.23,1.11,63,2015,"7",0,"long","long"
"64",5898,2019-08-20,2019-09-04,"NODE_0000658","FC-053",2018-07-08,"CO/FC/SE","FC-061",NA,"CO/FC/NW",NA,FALSE,4,4,1.16,0.04,64,2019,"8",1,"long","short"
"65",5918,2013-08-26,2020-09-01,"NODE_0003850","IL/Dupage",2011-07-19,"IL/Dupage","FC-006",NA,"CO/FC/NE",NA,FALSE,55,54,9.13,7.02,65,2013,"8",1,"long","long"
"66",5985,2016-08-15,2016-08-23,"NODE_0000607","LV-077",2015-08-01,"CO/LV/LV","FC-091GR",NA,"CO/FC/NE",NA,FALSE,2,2,1.06,0.02,66,2016,"8",1,"long","short"
"67",5997,2017-07-26,2017-08-21,"NODE_0000619","FC-037",2017-05-24,"CO/FC/SW","FC-041",NA,"CO/FC/NW",NA,FALSE,2,2,0.24,0.07,67,2017,"7",0,"short","short"
"68",6005,2013-08-23,2018-08-16,"NODE_0000528","FC-089GR",2010-07-08,"CO/FC/SW","FC-071",NA,"CO/FC/SW",NA,TRUE,19,19,8.11,4.98,68,2013,"8",1,"long","long"
"69",6046,2013-08-07,2021-08-09,"NODE_0003974","OH",2011-01-18,"OH","LV-021 LV-042",NA,"CO/LV/LV",NA,FALSE,43,40,10.56,8.01,69,2013,"8",1,"long","long"
"70",6109,2015-08-31,2021-08-03,"NODE_0000809","OH",2010-04-23,"OH","FC-040GR",NA,"CO/FC/NE",NA,FALSE,15,14,11.29,5.93,70,2015,"8",1,"long","long"
"71",6131,2014-09-23,2018-08-08,"NODE_0000780","OH",2010-04-25,"OH","FC-088GR",NA,"CO/FC/SE",NA,FALSE,17,16,8.29,3.88,71,2014,"9",2,"long","long"
"72",6151,2015-08-17,2015-08-17,"NODE_0000800","FC-041",2015-07-10,"CO/FC/NW","FC-040GR","FC-092GR","CO/FC/NE","CO/FC/NE",FALSE,2,2,0.1,0,72,2015,"8",1,"short","short"
"73",6164,2021-07-26,2021-08-08,"NODE_0000727","FC-089GR",2018-07-13,"CO/FC/SW","FC-088GR","FC-027","CO/FC/SE","CO/FC/SE",FALSE,4,4,3.07,0.04,73,2021,"7",0,"long","short"
"74",6168,2013-07-30,2019-08-26,"NODE_0000731","IL/Dupage",2012-06-24,"IL/Dupage","LV-101",NA,"CO/LV/LV",NA,FALSE,48,48,7.18,6.08,74,2013,"7",0,"long","long"
"75",6216,2014-08-04,2014-08-13,"NODE_0004141","FC-054",2014-05-20,"CO/FC/SE","FC-053",NA,"CO/FC/SE",NA,TRUE,2,2,0.23,0.02,75,2014,"8",1,"short","short"
"76",6223,2013-08-26,2018-08-29,"NODE_0000879","TX/Denton",2010-07-14,"TX/Denton","LV-079GR",NA,"CO/LV/LV",NA,FALSE,12,9,8.13,5.01,76,2013,"8",1,"long","long"
"77",6252,2014-08-13,2016-08-23,"NODE_0000846","LV-020",2012-02-12,"CO/LV/LV","LV-019",NA,"CO/LV/LV",NA,TRUE,4,4,4.53,2.03,77,2014,"8",1,"long","long"
"78",6255,2012-07-03,2015-09-07,"NODE_0004180","TX/Denton",2010-07-07,"TX/Denton","FC-039","FC-046","CO/FC/SE","CO/FC/SE",FALSE,55,52,5.17,3.18,78,2012,"7",0,"long","long"
"79",6262,2014-08-06,2014-08-07,"NODE_0004187","TX/Denton",2011-07-18,"TX/Denton","FC-041",NA,"CO/FC/NW",NA,FALSE,2,2,3.06,0,79,2014,"8",1,"long","short"
"80",6299,2012-08-16,2021-08-04,"NODE_0000943","TX/Denton",2009-04-21,"TX/Denton","FC-031",NA,"CO/FC/SE",NA,FALSE,84,78,12.3,8.97,80,2012,"8",1,"long","long"
