"","strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"1503","MF175827/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175827",2013-08-07,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"1504","MF175828/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175828",2013-08-08,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"1505","MF175829/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175829",2013-08-06,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"1506","MF175830/2014/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175830",2014-10-14,2014,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1507","MF175831/2015/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175831",2015-09-22,2015,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"1508","MF175832/2014/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175832",2014-07-22,2014,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"1509","MF175833/2014/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175833",2014-07-09,2014,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"1510","MF175834/2015/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175834",2015-08-11,2015,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1511","MF175835/2014/USA/TX/El_Paso/WN02/unknown/Mosquito-Culex","MF175835",2014-09-10,2014,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","WN02","unknown","Mosquito-Culex"
"1512","MF175836/2015/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175836",2015-07-08,2015,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1513","MF175837/2014/USA/TX/El_Paso/WN02/unknown/Mosquito-Culex","MF175837",2014-08-05,2014,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","WN02","unknown","Mosquito-Culex"
"1514","MF175838/2014/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175838",2014-08-18,2014,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1515","MF175839/2014/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175839",2014-08-28,2014,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"1516","MF175840/2014/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175840",2014-07-01,2014,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1517","MF175841/2015/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175841",2015-10-13,2015,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1518","MF175842/2014/USA/TX/Travis/WN02/unknown/Mosquito-Culex","MF175842",2014-10-17,2014,"USA","TX","Not CO","TX/Travis","TX/Travis","TX/Travis","WN02","unknown","Mosquito-Culex"
"1519","MF175843/2015/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175843",2015-06-23,2015,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"1520","MF175844/2014/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175844",2014-07-21,2014,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1521","MF175845/2014/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175845",2014-09-16,2014,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"1522","MF175846/2014/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175846",2014-10-16,2014,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"1523","MF175847/2015/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175847",2015-07-28,2015,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"1524","MF175848/2015/USA/TX/Colllin/WN02/unknown/Mosquito-Culex","MF175848",2015-07-27,2015,"USA","TX","Not CO","TX/Colllin","TX/Colllin","TX/Colllin","WN02","unknown","Mosquito-Culex"
"1525","MF175849/2015/USA/TX/El_Paso/WN02/unknown/Mosquito-Culex","MF175849",2015-07-21,2015,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","WN02","unknown","Mosquito-Culex"
"1526","MF175850/2015/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175850",2015-07-21,2015,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"1527","MF175851/2015/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175851",2015-09-01,2015,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"1528","MF175852/2015/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175852",2015-10-21,2015,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"1529","MF175853/2014/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175853",2014-08-05,2014,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"1530","MF175854/2015/USA/TX/Williamson/WN02/unknown/Mosquito-Culex","MF175854",2015-10-20,2015,"USA","TX","Not CO","TX/Williamson","TX/Williamson","TX/Williamson","WN02","unknown","Mosquito-Culex"
"1531","MF175855/2014/USA/TX/Williamson/WN02/unknown/Mosquito-Culex","MF175855",2014-11-04,2014,"USA","TX","Not CO","TX/Williamson","TX/Williamson","TX/Williamson","WN02","unknown","Mosquito-Culex"
"1532","MF175856/2015/USA/TX/Colllin/WN02/unknown/Mosquito-Culex","MF175856",2015-08-10,2015,"USA","TX","Not CO","TX/Colllin","TX/Colllin","TX/Colllin","WN02","unknown","Mosquito-Culex"
"1533","MF175857/2015/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175857",2015-08-11,2015,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"1534","MF175858/2015/USA/TX/Colllin/WN02/unknown/Mosquito-Culex","MF175858",2015-09-22,2015,"USA","TX","Not CO","TX/Colllin","TX/Colllin","TX/Colllin","WN02","unknown","Mosquito-Culex"
"1535","MF175859/2014/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175859",2014-08-05,2014,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"1536","MF175860/2015/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175860",2015-07-22,2015,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"1537","MF175861/2015/USA/TX/El_Paso/WN02/unknown/Mosquito-Culex","MF175861",2015-08-19,2015,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","WN02","unknown","Mosquito-Culex"
"1538","MF175862/2015/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175862",2015-06-09,2015,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1539","MF175863/2014/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175863",2014-09-04,2014,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"1540","MF175864/2014/USA/TX/El_Paso/WN02/unknown/Mosquito-Culex","MF175864",2014-09-10,2014,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","WN02","unknown","Mosquito-Culex"
"1541","MF175865/2015/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175865",2015-09-16,2015,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1542","MF175866/2014/USA/TX/El_Paso/SW03/unknown/Mosquito-Culex","MF175866",2014-09-09,2014,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","SW03","unknown","Mosquito-Culex"
"1543","MF175867/2015/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175867",2015-07-21,2015,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"1544","MF175868/2014/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175868",2014-06-03,2014,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"1545","MF175869/2014/USA/TX/Travis/WN02/unknown/Mosquito-Culex","MF175869",2014-08-07,2014,"USA","TX","Not CO","TX/Travis","TX/Travis","TX/Travis","WN02","unknown","Mosquito-Culex"
"1546","MF175870/2015/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175870",2015-08-12,2015,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"1547","MF175871/2014/USA/TX/Travis/WN02/unknown/Mosquito-Culex","MF175871",2014-08-12,2014,"USA","TX","Not CO","TX/Travis","TX/Travis","TX/Travis","WN02","unknown","Mosquito-Culex"
"1548","MF175872/2014/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175872",2014-09-23,2014,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"1549","MF175873/2015/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175873",2015-09-08,2015,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"1550","MF175874/2015/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175874",2015-08-19,2015,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"1551","MF175875/2015/USA/TX/Colllin/WN02/unknown/Mosquito-Culex","MF175875",2015-09-01,2015,"USA","TX","Not CO","TX/Colllin","TX/Colllin","TX/Colllin","WN02","unknown","Mosquito-Culex"
"1552","MF175877/2015/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175877",2015-11-11,2015,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"1553","MG004528/2015/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004528",2015-06-09,2015,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1554","MG004529/2014/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004529",2014-06-26,2014,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1555","MG004530/2016/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004530",2016-10-20,2016,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1556","MG004531/2016/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004531",2016-05-11,2016,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1557","MG004532/2015/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004532",2015-08-05,2015,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1558","MG004533/2014/USA/AZ/Maricopa/SW03/unknown/Mosquito-Culex","MG004533",2014-06-03,2014,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","SW03","unknown","Mosquito-Culex"
"1559","MG004534/2016/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004534",2016-06-28,2016,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1560","MG004535/2014/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004535",2014-07-22,2014,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1561","MG004536/2016/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004536",2016-08-25,2016,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1562","MG004537/2014/USA/AZ/Maricopa/SW03/unknown/Mosquito-Culex","MG004537",2014-08-28,2014,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","SW03","unknown","Mosquito-Culex"
"1563","MG004538/2015/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004538",2015-10-07,2015,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1564","MG004539/2014/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004539",2014-06-10,2014,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1565","MG004540/2015/USA/AZ/Maricopa/SW03/unknown/Mosquito-Culex","MG004540",2015-05-12,2015,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","SW03","unknown","Mosquito-Culex"
"1566","MG004541/2017/USA/AZ/Maricopa/WN02/unknown/Mosquito-Culex","MG004541",2017-04-26,2017,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Mosquito-Culex"
"1567","MH166882/2000/USA/VA/Norfolk/NY99/unknown/Bird-unknown","MH166882",2000-08-01,2000,"USA","VA","Not CO","VA","VA","VA","NY99","unknown","Bird-unknown"
"1568","MH166883/2002/USA/VA/Norfolk/WN02/unknown/Bird-unknown","MH166883",2002-08-01,2002,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Bird-unknown"
"1569","MH166884/2004/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166884",2004-08-01,2004,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1570","MH166885/2009/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166885",2009-08-01,2009,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1571","MH166886/2001/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown","MH166886",2001-08-01,2001,"USA","VA","Not CO","VA","VA","VA","NY99","unknown","Mosquito-unknown"
"1572","MH166887/2002/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown","MH166887",2002-08-01,2002,"USA","VA","Not CO","VA","VA","VA","NY99","unknown","Mosquito-unknown"
"1573","MH166888/2005/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166888",2005-08-01,2005,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1574","MH166889/2006/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166889",2006-08-01,2006,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1575","MH166890/2006/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166890",2006-08-01,2006,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1576","MH166891/2007/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166891",2007-08-01,2007,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1577","MH166892/2008/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166892",2008-08-01,2008,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1578","MH166893/2010/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166893",2010-08-01,2010,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1579","MH166894/2007/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166894",2007-08-01,2007,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1580","MH166895/2005/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166895",2005-08-01,2005,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1581","MH166896/2009/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166896",2009-08-01,2009,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1582","MH166897/2010/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166897",2010-08-01,2010,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1583","MH166898/2008/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166898",2008-08-01,2008,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1584","MH166899/2002/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown","MH166899",2002-08-01,2002,"USA","VA","Not CO","VA","VA","VA","NY99","unknown","Mosquito-unknown"
"1585","MH166900/2003/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166900",2003-08-01,2003,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1586","MH166901/2000/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown","MH166901",2000-08-01,2000,"USA","VA","Not CO","VA","VA","VA","NY99","unknown","Mosquito-unknown"
"1587","MH166902/2010/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166902",2010-08-01,2010,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1588","MH166903/2000/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown","MH166903",2000-08-01,2000,"USA","VA","Not CO","VA","VA","VA","NY99","unknown","Mosquito-unknown"
"1589","MH166904/2000/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown","MH166904",2000-08-01,2000,"USA","VA","Not CO","VA","VA","VA","NY99","unknown","Mosquito-unknown"
"1590","MH166905/2002/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166905",2002-08-01,2002,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1591","MH166906/2003/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166906",2003-08-01,2003,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1592","MH166907/2006/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166907",2006-08-01,2006,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1593","MH166908/2005/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166908",2005-08-01,2005,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1594","MH166909/2009/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166909",2009-08-01,2009,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1595","MH166910/2006/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166910",2006-08-01,2006,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1596","MH166911/2002/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166911",2002-08-01,2002,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1597","MH166912/2003/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166912",2003-08-01,2003,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1598","MH166913/2004/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166913",2004-08-01,2004,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1599","MH166914/2009/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166914",2009-08-01,2009,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1600","MH166915/2002/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166915",2002-08-01,2002,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1601","MH166916/2010/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166916",2010-08-01,2010,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1602","MH166917/2004/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166917",2004-08-01,2004,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1603","MH166918/2008/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166918",2008-08-01,2008,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1604","MH166919/2004/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166919",2004-08-01,2004,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1605","MH166920/2009/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166920",2009-08-01,2009,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1606","MH166921/2008/USA/VA/Norfolk/WN02/unknown/Mosquito-unknown","MH166921",2008-08-01,2008,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Mosquito-unknown"
"1607","MH170229/2006/USA/CO/Weld/WN02/unknown/Mosquito-unknown","MH170229",2006-08-01,2006,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","WN02","unknown","Mosquito-unknown"
"1608","MH170230/2007/USA/CO/Weld/SW03/unknown/Mosquito-unknown","MH170230",2007-08-01,2007,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","SW03","unknown","Mosquito-unknown"
"1609","MH170232/2006/USA/CO/Weld/SW03/unknown/Mosquito-unknown","MH170232",2006-08-01,2006,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","SW03","unknown","Mosquito-unknown"
"1610","MH170235/2006/USA/CO/Weld/SW03/unknown/Mosquito-unknown","MH170235",2006-08-01,2006,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","SW03","unknown","Mosquito-unknown"
"1611","MH170236/2006/USA/CO/Weld/WN02/unknown/Mosquito-unknown","MH170236",2006-08-01,2006,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","WN02","unknown","Mosquito-unknown"
"1612","MH170239/2006/USA/CO/Weld/SW03/unknown/Mosquito-Culex","MH170239",2006-08-01,2006,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","SW03","unknown","Mosquito-Culex"
"1613","MH170241/2007/USA/CO/Weld/SW03/unknown/Mosquito-Culex","MH170241",2007-08-01,2007,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","SW03","unknown","Mosquito-Culex"
"1614","MH170243/2006/USA/CO/Weld/WN02/unknown/Mosquito-Culex","MH170243",2006-08-01,2006,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","WN02","unknown","Mosquito-Culex"
"1615","MH170244/2007/USA/CO/Weld/SW03/unknown/Mosquito-Culex","MH170244",2007-08-01,2007,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","SW03","unknown","Mosquito-Culex"
"1616","MH170246/2004/USA/CO/Weld/WN02/unknown/Mosquito-Culex","MH170246",2004-08-01,2004,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","WN02","unknown","Mosquito-Culex"
"1617","MH170249/2006/USA/CO/Weld/WN02/unknown/Mosquito-Culex","MH170249",2006-08-01,2006,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","WN02","unknown","Mosquito-Culex"
"1618","MH170251/2007/USA/CO/Weld/SW03/unknown/Mosquito-Culex","MH170251",2007-08-01,2007,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","SW03","unknown","Mosquito-Culex"
"1619","MH170252/2007/USA/CO/Weld/WN02/unknown/Mosquito-Culex","MH170252",2007-08-01,2007,"USA","CO","Weld","CO/Weld","CO/Weld","CO/Weld","WN02","unknown","Mosquito-Culex"
"1620","MH170257/2005/USA/GA/Lawnder/WN02/unknown/Mosquito-Culex","MH170257",2005-08-01,2005,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Mosquito-Culex"
"1621","MH170258/2007/USA/GA/Chatham/WN02/unknown/Mosquito-Culex","MH170258",2007-08-01,2007,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Mosquito-Culex"
"1622","MH170259/2009/USA/GA/Fulton/WN02/unknown/Mosquito-Culex","MH170259",2009-08-01,2009,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Mosquito-Culex"
"1623","MH170260/2009/USA/GA/Fulton/WN02/unknown/Mosquito-Culex","MH170260",2009-08-01,2009,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Mosquito-Culex"
"1624","MH170261/2008/USA/GA/Dekalb/WN02/unknown/Mosquito-Culex","MH170261",2008-08-01,2008,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Mosquito-Culex"
"1625","MH170262/2009/USA/GA/Lowndes/WN02/unknown/Mosquito-Culex","MH170262",2009-08-01,2009,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Mosquito-Culex"
"1626","MH170263/2001/USA/GA/Wane/NY99/unknown/Bird-other","MH170263",2001-08-01,2001,"USA","GA","Not CO","GA","GA","GA","NY99","unknown","Bird-other"
"1627","MH170264/2002/USA/GA/Muscogee/WN02/unknown/Bird-other","MH170264",2002-08-01,2002,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Bird-other"
"1628","MH170265/2004/USA/GA/Chattron/WN02/unknown/Mosquito-Culex","MH170265",2004-08-01,2004,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Mosquito-Culex"
"1629","MH170266/2007/USA/GA/Fulton/WN02/unknown/Mosquito-Culex","MH170266",2007-08-01,2007,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Mosquito-Culex"
"1630","MH170267/2008/USA/GA/Gwinnett/WN02/unknown/Bird-other","MH170267",2008-08-01,2008,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Bird-other"
"1631","MH170268/2007/USA/GA/Chatham/WN02/unknown/Bird-other","MH170268",2007-08-01,2007,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Bird-other"
"1632","MH170269/2005/USA/GA/Dekalb/WN02/unknown/Bird-other","MH170269",2005-08-01,2005,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Bird-other"
"1633","MH170270/2004/USA/GA/Henry/WN02/unknown/Bird-crow","MH170270",2004-08-01,2004,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Bird-crow"
