"strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"DQ005530/2003/USA/UT/Sanpete/WN02/unknown/Human","DQ005530",2003-08-01,2003,"USA","UT","Not CO","UT/Sanpete","UT/Sanpete","UT/Sanpete","WN02","unknown","Human"
"DQ080051/2003/USA/AZ/Cochise/SW03/unknown/Mosquito-Culex","DQ080051",2003-08-01,2003,"USA","AZ","Not CO","AZ/Cochise","AZ/Cochise","AZ/Cochise","SW03","unknown","Mosquito-Culex"
"DQ080052/2003/USA/AZ/Maricopoa/SW03/unknown/Mosquito-Culex","DQ080052",2003-08-01,2003,"USA","AZ","Not CO","AZ/Maricopoa","AZ/Maricopoa","AZ/Maricopoa","SW03","unknown","Mosquito-Culex"
"DQ080053/2003/USA/AZ/Apache/SW03/unknown/Mosquito-Culex","DQ080053",2003-08-01,2003,"USA","AZ","Not CO","AZ/Apache","AZ/Apache","AZ/Apache","SW03","unknown","Mosquito-Culex"
"DQ080054/2003/USA/CA/Los_Angeles/WN02/unknown/Mosquito-Culex","DQ080054",2003-08-01,2003,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Mosquito-Culex"
"DQ080055/2003/USA/CA/Imperial/WN02/unknown/Mosquito-Culex","DQ080055",2003-08-01,2003,"USA","CA","Not CO","CA/Imperial","CA/Imperial","CA/Imperial","WN02","unknown","Mosquito-Culex"
"DQ080056/2003/USA/CA/Imperial/WN02/unknown/Mosquito-Culex","DQ080056",2003-08-01,2003,"USA","CA","Not CO","CA/Imperial","CA/Imperial","CA/Imperial","WN02","unknown","Mosquito-Culex"
"DQ080057/2003/USA/CA/Los_Angeles/WN02/unknown/Bird-crow","DQ080057",2003-08-01,2003,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Bird-crow"
"DQ080058/2003/USA/CA/Los_Angeles/WN02/unknown/Bird-crow","DQ080058",2003-08-01,2003,"USA","CA","Not CO","CA/Los_Angeles","CA/Los_Angeles","CA/Los_Angeles","WN02","unknown","Bird-crow"
"DQ080059/2003/USA/CA/Sacramento/WN02/unknown/Bird-crow","DQ080059",2003-08-01,2003,"USA","CA","Not CO","CA/Sacramento","CA/Sacramento","CA/Sacramento","WN02","unknown","Bird-crow"
"DQ080061/2004/USA/LA/Iberia/WN02/unknown/Bird-other","DQ080061",2004-08-01,2004,"USA","LA","Not CO","LA","LA","LA","WN02","unknown","Bird-other"
"DQ080062/2002/USA/LA/Iberia/NY99/unknown/Mosquito-other","DQ080062",2002-08-01,2002,"USA","LA","Not CO","LA","LA","LA","NY99","unknown","Mosquito-other"
"DQ080071/2002/USA/FL/Sumter/NY99/unknown/Horse","DQ080071",2002-08-01,2002,"USA","FL","Not CO","FL/Sumter","FL/Sumter","FL/Sumter","NY99","unknown","Horse"
"DQ080072/2001/USA/FL/Palm_Beach/NY99/unknown/Bird-other","DQ080072",2001-08-01,2001,"USA","FL","Not CO","FL/Palm_Beach","FL/Palm_Beach","FL/Palm_Beach","NY99","unknown","Bird-other"
"DQ164186/2002/USA/NY/Queens/WN02/unknown/Bird-crow","DQ164186",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"DQ164187/2002/USA/NY/Broome/NY99/unknown/Bird-crow","DQ164187",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"DQ164188/2003/USA/NY/Westchester/NY99/unknown/Bird-crow","DQ164188",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"DQ164189/2003/USA/NY/Albany/WN02/unknown/Bird-crow","DQ164189",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"DQ164190/2003/USA/NY/Suffolk/WN02/unknown/Bird-crow","DQ164190",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"DQ164191/2003/USA/NY/Chautauqua/WN02/unknown/Bird-crow","DQ164191",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"DQ164192/2003/USA/NY/Rockland/NY99/unknown/Bird-crow","DQ164192",2003-08-01,2003,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"DQ164193/2002/USA/NY/Clinton/WN02/unknown/Bird-crow","DQ164193",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"DQ164194/2001/USA/NY/Suffolk/NY99/unknown/Bird-crow","DQ164194",2001-08-01,2001,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"DQ164195/2002/USA/NY/Nassau/WN02/unknown/Mosquito-Culex","DQ164195",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"DQ164196/2002/USA/GA/Wilkinson/WN02/unknown/Human","DQ164196",2002-08-01,2002,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Human"
"DQ164197/2002/USA/GA/Wilkinson/WN02/unknown/Human","DQ164197",2002-08-01,2002,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Human"
"DQ164198/2002/USA/TX/Concho/WN02/unknown/Human","DQ164198",2002-08-01,2002,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","WN02","unknown","Human"
"DQ164199/2003/USA/TX/Concho/WN02/unknown/Human","DQ164199",2003-08-01,2003,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","WN02","unknown","Human"
"DQ164200/2002/USA/IN/Hendricks/WN02/unknown/Human","DQ164200",2002-08-01,2002,"USA","IN","Not CO","IN/Hendricks","IN/Hendricks","IN/Hendricks","WN02","unknown","Human"
"DQ164201/2004/USA/AZ/Yavapai/SW03/unknown/Human","DQ164201",2004-08-01,2004,"USA","AZ","Not CO","AZ/Yavapai","AZ/Yavapai","AZ/Yavapai","SW03","unknown","Human"
"DQ164202/2002/USA/OH/Licking/NY99/unknown/Human","DQ164202",2002-08-01,2002,"USA","OH","Not CO","OH","OH","OH","NY99","unknown","Human"
"DQ164203/2003/USA/CO/Park/SW03/unknown/Bird-crow","DQ164203",2003-08-01,2003,"USA","CO","Park","CO/Park","CO/Park","CO/Park","SW03","unknown","Bird-crow"
"DQ164204/2003/USA/CO/Park/WN02/unknown/Bird-other","DQ164204",2003-08-01,2003,"USA","CO","Park","CO/Park","CO/Park","CO/Park","WN02","unknown","Bird-other"
"DQ164205/2002/USA/TX/Concho/WN02/unknown/Human","DQ164205",2002-08-01,2002,"USA","TX","Not CO","TX/Concho","TX/Concho","TX/Concho","WN02","unknown","Human"
"DQ164206/2004/USA/TX/Harris/WN02/unknown/Bird-other","DQ164206",2004-08-01,2004,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"DQ176637/2002/USA/TX/Hall/WN02/unknown/Bird-other","DQ176637",2002-08-01,2002,"USA","TX","Not CO","TX/Hall","TX/Hall","TX/Hall","WN02","unknown","Bird-other"
"DQ431693/2003/USA/TX/Potter/WN02/unknown/Human","DQ431693",2003-08-01,2003,"USA","TX","Not CO","TX/Potter","TX/Potter","TX/Potter","WN02","unknown","Human"
"DQ431694/2003/USA/TX/Potter/WN02/unknown/Human","DQ431694",2003-08-01,2003,"USA","TX","Not CO","TX/Potter","TX/Potter","TX/Potter","WN02","unknown","Human"
"DQ431695/2003/USA/IL/Cook/WN02/unknown/Human","DQ431695",2003-08-01,2003,"USA","IL","Not CO","IL/Cook","IL/Cook","IL/Cook","WN02","unknown","Human"
"DQ431696/2003/USA/WI/Milwaukee/WN02/unknown/Human","DQ431696",2003-08-01,2003,"USA","WI","Not CO","WI","WI","WI","WN02","unknown","Human"
"DQ431697/2003/USA/FL/Hillsborough/NY99/unknown/Human","DQ431697",2003-08-01,2003,"USA","FL","Not CO","FL/Hillsborough","FL/Hillsborough","FL/Hillsborough","NY99","unknown","Human"
"DQ431698/2003/USA/FL/Hillsborough/WN02/unknown/Human","DQ431698",2003-08-01,2003,"USA","FL","Not CO","FL/Hillsborough","FL/Hillsborough","FL/Hillsborough","WN02","unknown","Human"
"DQ431699/2003/USA/FL/Hillsborough/WN02/unknown/Human","DQ431699",2003-08-01,2003,"USA","FL","Not CO","FL/Hillsborough","FL/Hillsborough","FL/Hillsborough","WN02","unknown","Human"
"DQ431700/2004/USA/CA/San_Fransisco/WN02/unknown/Human","DQ431700",2004-08-01,2004,"USA","CA","Not CO","CA/San_Fransisco","CA/San_Fransisco","CA/San_Fransisco","WN02","unknown","Human"
"DQ431701/2004/USA/CO/Mesa/WN02/unknown/Human","DQ431701",2004-08-01,2004,"USA","CO","Mesa","CO/Mesa","CO/Mesa","CO/Mesa","WN02","unknown","Human"
"DQ431702/2004/USA/CO/Mesa/SW03/unknown/Human","DQ431702",2004-08-01,2004,"USA","CO","Mesa","CO/Mesa","CO/Mesa","CO/Mesa","SW03","unknown","Human"
"DQ431703/2004/USA/CO/Mesa/WN02/unknown/Human","DQ431703",2004-08-01,2004,"USA","CO","Mesa","CO/Mesa","CO/Mesa","CO/Mesa","WN02","unknown","Human"
